,position,condition,step
0,"(54, 67)",1.0,1.0
1,"(54, 68)",1.0,1.0
2,"(55, 66)",1.0,2.0
3,"(55, 68)",1.0,2.0
4,"(54, 65)",1.0,3.0
5,"(55, 65)",1.0,3.0
6,"(55, 67)",1.0,3.0
7,"(56, 66)",1.0,3.0
8,"(56, 68)",1.0,3.0
9,"(53, 64)",1.0,4.0
10,"(54, 64)",1.0,4.0
11,"(56, 64)",1.0,4.0
12,"(57, 65)",1.0,4.0
13,"(57, 67)",1.0,4.0
14,"(53, 65)",1.0,5.0
15,"(54, 63)",1.0,5.0
16,"(55, 63)",1.0,5.0
17,"(57, 64)",1.0,5.0
18,"(57, 68)",1.0,5.0
19,"(58, 64)",1.0,5.0
20,"(58, 66)",1.0,5.0
21,"(58, 68)",1.0,5.0
22,"(53, 62)",1.0,6.0
23,"(54, 62)",1.0,6.0
24,"(55, 62)",1.0,6.0
25,"(57, 63)",1.0,6.0
26,"(58, 65)",1.0,6.0
27,"(59, 63)",1.0,6.0
28,"(59, 64)",1.0,6.0
29,"(59, 65)",1.0,6.0
30,"(59, 67)",1.0,6.0
31,"(59, 68)",1.0,6.0
32,"(57, 62)",1.0,7.0
33,"(58, 62)",1.0,7.0
34,"(58, 63)",1.0,7.0
35,"(60, 64)",1.0,7.0
36,"(60, 65)",1.0,7.0
37,"(60, 66)",1.0,7.0
38,"(60, 69)",1.0,7.0
39,"(57, 61)",1.0,8.0
40,"(58, 61)",1.0,8.0
41,"(59, 62)",1.0,8.0
42,"(59, 70)",1.0,8.0
43,"(60, 63)",1.0,8.0
44,"(60, 70)",1.0,8.0
45,"(61, 64)",1.0,8.0
46,"(61, 70)",1.0,8.0
47,"(56, 61)",1.0,9.0
48,"(57, 60)",1.0,9.0
49,"(58, 70)",1.0,9.0
50,"(58, 71)",1.0,9.0
51,"(59, 60)",1.0,9.0
52,"(59, 61)",1.0,9.0
53,"(59, 71)",1.0,9.0
54,"(61, 63)",1.0,9.0
55,"(62, 63)",1.0,9.0
56,"(62, 70)",1.0,9.0
57,"(55, 60)",1.0,10.0
58,"(57, 70)",1.0,10.0
59,"(57, 71)",1.0,10.0
60,"(58, 59)",1.0,10.0
61,"(59, 59)",1.0,10.0
62,"(59, 72)",1.0,10.0
63,"(60, 59)",1.0,10.0
64,"(60, 60)",1.0,10.0
65,"(63, 62)",1.0,10.0
66,"(63, 63)",1.0,10.0
67,"(63, 69)",1.0,10.0
68,"(63, 70)",1.0,10.0
69,"(56, 70)",1.0,11.0
70,"(57, 58)",1.0,11.0
71,"(57, 59)",1.0,11.0
72,"(61, 58)",1.0,11.0
73,"(62, 61)",1.0,11.0
74,"(62, 68)",1.0,11.0
75,"(63, 61)",1.0,11.0
76,"(64, 61)",1.0,11.0
77,"(64, 70)",1.0,11.0
78,"(56, 57)",1.0,12.0
79,"(60, 58)",1.0,12.0
80,"(61, 62)",1.0,12.0
81,"(61, 67)",1.0,12.0
82,"(62, 57)",1.0,12.0
83,"(62, 67)",1.0,12.0
84,"(63, 68)",1.0,12.0
85,"(64, 60)",1.0,12.0
86,"(64, 71)",1.0,12.0
87,"(55, 58)",1.0,13.0
88,"(61, 56)",1.0,13.0
89,"(61, 57)",1.0,13.0
90,"(63, 59)",1.0,13.0
91,"(63, 66)",1.0,13.0
92,"(63, 72)",1.0,13.0
93,"(64, 59)",1.0,13.0
94,"(64, 68)",1.0,13.0
95,"(65, 61)",1.0,13.0
96,"(65, 71)",1.0,13.0
97,"(65, 72)",1.0,13.0
98,"(54, 58)",1.0,14.0
99,"(55, 57)",1.0,14.0
100,"(55, 59)",1.0,14.0
101,"(62, 55)",1.0,14.0
102,"(62, 56)",1.0,14.0
103,"(62, 60)",1.0,14.0
104,"(64, 67)",1.0,14.0
105,"(64, 73)",1.0,14.0
106,"(65, 59)",1.0,14.0
107,"(65, 73)",1.0,14.0
108,"(66, 70)",1.0,14.0
109,"(66, 73)",1.0,14.0
110,"(61, 54)",1.0,15.0
111,"(61, 55)",1.0,15.0
112,"(63, 57)",1.0,15.0
113,"(63, 74)",1.0,15.0
114,"(64, 74)",1.0,15.0
115,"(65, 58)",1.0,15.0
116,"(65, 66)",1.0,15.0
117,"(65, 69)",1.0,15.0
118,"(65, 74)",1.0,15.0
119,"(66, 58)",1.0,15.0
120,"(66, 59)",1.0,15.0
121,"(66, 74)",1.0,15.0
122,"(67, 71)",1.0,15.0
123,"(67, 72)",1.0,15.0
124,"(60, 53)",1.0,16.0
125,"(60, 54)",1.0,16.0
126,"(60, 56)",1.0,16.0
127,"(62, 73)",1.0,16.0
128,"(62, 75)",1.0,16.0
129,"(63, 75)",1.0,16.0
130,"(64, 57)",1.0,16.0
131,"(64, 75)",1.0,16.0
132,"(65, 65)",1.0,16.0
133,"(65, 75)",1.0,16.0
134,"(66, 65)",1.0,16.0
135,"(66, 67)",1.0,16.0
136,"(66, 68)",1.0,16.0
137,"(68, 71)",1.0,16.0
138,"(68, 73)",1.0,16.0
139,"(59, 52)",1.0,17.0
140,"(59, 53)",1.0,17.0
141,"(60, 52)",1.0,17.0
142,"(60, 57)",1.0,17.0
143,"(61, 52)",1.0,17.0
144,"(61, 53)",1.0,17.0
145,"(61, 75)",1.0,17.0
146,"(61, 76)",1.0,17.0
