,position,condition,step
0,"(64, 92)",1.0,1.0
1,"(64, 93)",1.0,1.0
2,"(65, 94)",1.0,1.0
3,"(66, 94)",1.0,1.0
4,"(63, 93)",1.0,2.0
5,"(63, 94)",1.0,2.0
6,"(64, 94)",1.0,2.0
7,"(65, 91)",1.0,2.0
8,"(65, 95)",1.0,2.0
9,"(62, 93)",1.0,3.0
10,"(62, 94)",1.0,3.0
11,"(62, 95)",1.0,3.0
12,"(63, 92)",1.0,3.0
13,"(64, 91)",1.0,3.0
14,"(64, 96)",1.0,3.0
15,"(66, 96)",1.0,3.0
16,"(61, 93)",1.0,4.0
17,"(61, 94)",1.0,4.0
18,"(61, 95)",1.0,4.0
19,"(62, 91)",1.0,4.0
20,"(63, 90)",1.0,4.0
21,"(63, 91)",1.0,4.0
22,"(63, 95)",1.0,4.0
23,"(63, 96)",1.0,4.0
24,"(63, 97)",1.0,4.0
25,"(64, 90)",1.0,4.0
26,"(64, 97)",1.0,4.0
27,"(65, 97)",1.0,4.0
28,"(60, 95)",1.0,5.0
29,"(60, 96)",1.0,5.0
30,"(61, 90)",1.0,5.0
31,"(61, 91)",1.0,5.0
32,"(61, 96)",1.0,5.0
33,"(62, 90)",1.0,5.0
34,"(62, 97)",1.0,5.0
35,"(62, 98)",1.0,5.0
36,"(63, 98)",1.0,5.0
37,"(64, 89)",1.0,5.0
38,"(65, 98)",1.0,5.0
39,"(66, 98)",1.0,5.0
40,"(59, 95)",1.0,6.0
41,"(59, 96)",1.0,6.0
42,"(59, 97)",1.0,6.0
43,"(60, 89)",1.0,6.0
44,"(60, 91)",1.0,6.0
45,"(60, 97)",1.0,6.0
46,"(61, 97)",1.0,6.0
47,"(61, 99)",1.0,6.0
48,"(62, 89)",1.0,6.0
49,"(63, 89)",1.0,6.0
50,"(64, 99)",1.0,6.0
51,"(65, 99)",1.0,6.0
52,"(67, 98)",1.0,6.0
53,"(58, 94)",1.0,7.0
54,"(58, 95)",1.0,7.0
55,"(58, 96)",1.0,7.0
56,"(58, 98)",1.0,7.0
57,"(59, 88)",1.0,7.0
58,"(59, 90)",1.0,7.0
59,"(59, 92)",1.0,7.0
60,"(60, 88)",1.0,7.0
61,"(60, 99)",1.0,7.0
62,"(61, 88)",1.0,7.0
63,"(61, 98)",1.0,7.0
64,"(62, 88)",1.0,7.0
65,"(67, 99)",1.0,7.0
