,position,condition,step
0,"(72, 67)",1.0,1.0
1,"(71, 67)",1.0,2.0
2,"(71, 68)",1.0,2.0
3,"(70, 67)",1.0,3.0
4,"(72, 66)",1.0,3.0
5,"(69, 66)",1.0,4.0
6,"(70, 66)",1.0,4.0
7,"(71, 65)",1.0,4.0
8,"(73, 65)",1.0,4.0
9,"(73, 66)",1.0,4.0
10,"(73, 67)",1.0,4.0
11,"(69, 67)",1.0,5.0
12,"(70, 65)",1.0,5.0
13,"(71, 64)",1.0,5.0
14,"(72, 65)",1.0,5.0
15,"(74, 65)",1.0,5.0
16,"(74, 66)",1.0,5.0
17,"(69, 65)",1.0,6.0
18,"(69, 68)",1.0,6.0
19,"(70, 63)",1.0,6.0
20,"(70, 64)",1.0,6.0
21,"(71, 63)",1.0,6.0
22,"(72, 63)",1.0,6.0
23,"(74, 64)",1.0,6.0
24,"(75, 64)",1.0,6.0
25,"(75, 65)",1.0,6.0
26,"(68, 64)",1.0,7.0
27,"(68, 65)",1.0,7.0
28,"(69, 64)",1.0,7.0
29,"(70, 62)",1.0,7.0
30,"(70, 69)",1.0,7.0
31,"(71, 62)",1.0,7.0
32,"(76, 64)",1.0,7.0
33,"(67, 63)",1.0,8.0
34,"(67, 64)",1.0,8.0
35,"(68, 63)",1.0,8.0
36,"(70, 61)",1.0,8.0
37,"(71, 61)",1.0,8.0
38,"(72, 61)",1.0,8.0
39,"(77, 64)",1.0,8.0
40,"(66, 62)",1.0,9.0
41,"(66, 64)",1.0,9.0
42,"(66, 65)",1.0,9.0
43,"(67, 62)",1.0,9.0
44,"(68, 62)",1.0,9.0
45,"(71, 60)",1.0,9.0
46,"(65, 64)",1.0,10.0
47,"(65, 65)",1.0,10.0
48,"(66, 61)",1.0,10.0
49,"(66, 66)",1.0,10.0
50,"(67, 61)",1.0,10.0
51,"(68, 61)",1.0,10.0
52,"(72, 59)",1.0,10.0
53,"(64, 63)",1.0,11.0
54,"(65, 60)",1.0,11.0
55,"(66, 60)",1.0,11.0
56,"(66, 67)",1.0,11.0
57,"(67, 60)",1.0,11.0
58,"(68, 60)",1.0,11.0
59,"(72, 58)",1.0,11.0
60,"(64, 59)",1.0,12.0
61,"(64, 61)",1.0,12.0
62,"(64, 62)",1.0,12.0
63,"(65, 68)",1.0,12.0
64,"(66, 59)",1.0,12.0
65,"(71, 59)",1.0,12.0
66,"(72, 57)",1.0,12.0
67,"(63, 58)",1.0,13.0
68,"(63, 59)",1.0,13.0
69,"(63, 61)",1.0,13.0
70,"(64, 60)",1.0,13.0
71,"(65, 58)",1.0,13.0
72,"(66, 69)",1.0,13.0
73,"(67, 58)",1.0,13.0
74,"(71, 56)",1.0,13.0
75,"(73, 56)",1.0,13.0
76,"(62, 58)",1.0,14.0
77,"(62, 59)",1.0,14.0
78,"(62, 60)",1.0,14.0
79,"(62, 62)",1.0,14.0
80,"(64, 57)",1.0,14.0
81,"(66, 58)",1.0,14.0
82,"(66, 70)",1.0,14.0
83,"(67, 69)",1.0,14.0
84,"(68, 57)",1.0,14.0
85,"(68, 58)",1.0,14.0
86,"(70, 55)",1.0,14.0
87,"(71, 55)",1.0,14.0
88,"(73, 55)",1.0,14.0
89,"(74, 57)",1.0,14.0
90,"(61, 57)",1.0,15.0
91,"(61, 58)",1.0,15.0
92,"(61, 61)",1.0,15.0
93,"(64, 56)",1.0,15.0
94,"(65, 70)",1.0,15.0
95,"(66, 71)",1.0,15.0
96,"(69, 56)",1.0,15.0
97,"(69, 57)",1.0,15.0
98,"(69, 58)",1.0,15.0
99,"(70, 56)",1.0,15.0
100,"(71, 54)",1.0,15.0
101,"(72, 54)",1.0,15.0
102,"(72, 56)",1.0,15.0
103,"(74, 56)",1.0,15.0
104,"(60, 56)",1.0,16.0
105,"(60, 58)",1.0,16.0
106,"(60, 62)",1.0,16.0
107,"(61, 60)",1.0,16.0
108,"(62, 56)",1.0,16.0
109,"(64, 55)",1.0,16.0
110,"(65, 71)",1.0,16.0
111,"(65, 72)",1.0,16.0
112,"(66, 72)",1.0,16.0
113,"(67, 71)",1.0,16.0
114,"(69, 55)",1.0,16.0
115,"(70, 58)",1.0,16.0
116,"(71, 53)",1.0,16.0
117,"(72, 53)",1.0,16.0
118,"(73, 53)",1.0,16.0
119,"(59, 57)",1.0,17.0
120,"(59, 58)",1.0,17.0
121,"(59, 62)",1.0,17.0
122,"(60, 60)",1.0,17.0
123,"(60, 63)",1.0,17.0
124,"(61, 55)",1.0,17.0
125,"(61, 56)",1.0,17.0
126,"(63, 54)",1.0,17.0
127,"(64, 73)",1.0,17.0
128,"(65, 73)",1.0,17.0
129,"(67, 73)",1.0,17.0
130,"(68, 54)",1.0,17.0
131,"(68, 72)",1.0,17.0
132,"(71, 52)",1.0,17.0
133,"(73, 52)",1.0,17.0
134,"(74, 52)",1.0,17.0
135,"(58, 56)",1.0,18.0
136,"(58, 57)",1.0,18.0
137,"(58, 58)",1.0,18.0
138,"(58, 61)",1.0,18.0
139,"(58, 62)",1.0,18.0
140,"(59, 59)",1.0,18.0
141,"(60, 54)",1.0,18.0
142,"(60, 64)",1.0,18.0
143,"(61, 64)",1.0,18.0
144,"(62, 53)",1.0,18.0
145,"(62, 55)",1.0,18.0
146,"(63, 72)",1.0,18.0
147,"(63, 73)",1.0,18.0
148,"(67, 53)",1.0,18.0
149,"(67, 55)",1.0,18.0
150,"(68, 74)",1.0,18.0
151,"(69, 72)",1.0,18.0
152,"(69, 73)",1.0,18.0
153,"(73, 51)",1.0,18.0
154,"(74, 51)",1.0,18.0
155,"(74, 53)",1.0,18.0
156,"(57, 56)",1.0,19.0
157,"(57, 57)",1.0,19.0
158,"(57, 59)",1.0,19.0
159,"(57, 62)",1.0,19.0
160,"(57, 63)",1.0,19.0
161,"(58, 59)",1.0,19.0
162,"(59, 64)",1.0,19.0
163,"(60, 53)",1.0,19.0
164,"(60, 65)",1.0,19.0
165,"(61, 52)",1.0,19.0
166,"(61, 53)",1.0,19.0
167,"(61, 54)",1.0,19.0
168,"(62, 73)",1.0,19.0
169,"(63, 53)",1.0,19.0
170,"(63, 74)",1.0,19.0
171,"(66, 52)",1.0,19.0
172,"(66, 54)",1.0,19.0
173,"(66, 56)",1.0,19.0
174,"(68, 53)",1.0,19.0
175,"(68, 71)",1.0,19.0
176,"(69, 74)",1.0,19.0
177,"(69, 75)",1.0,19.0
178,"(70, 71)",1.0,19.0
179,"(72, 50)",1.0,19.0
180,"(74, 50)",1.0,19.0
181,"(56, 58)",1.0,20.0
182,"(56, 61)",1.0,20.0
183,"(56, 63)",1.0,20.0
