,position,condition,step
228,"(300, 300)",1,229
229,"(300, 300)",1,230
230,"(300, 300)",1,231
231,"(300, 300)",1,232
232,"(300, 300)",1,233
233,"(300, 300)",1,234
234,"(300, 300)",1,235
235,"(300, 300)",1,236
236,"(300, 300)",1,237
237,"(300, 300)",1,238
238,"(300, 300)",1,239
239,"(300, 300)",1,240
240,"(300, 300)",1,241
241,"(300, 300)",1,242
242,"(300, 300)",1,243
243,"(300, 300)",1,244
244,"(300, 300)",1,245
245,"(300, 300)",1,246
246,"(300, 300)",1,247
247,"(300, 300)",1,248
248,"(300, 300)",1,249
249,"(300, 300)",2,250
250,"(300, 300)",3,251
251,"(300, 300)",4,252
252,"(300, 300)",5,253
253,"(300, 300)",6,254
254,"(300, 300)",7,255
255,"(300, 300)",8,256
256,"(300, 300)",9,257
257,"(300, 300)",10,258
258,"(300, 300)",11,259
259,"(300, 300)",12,260
260,"(300, 300)",13,261
261,"(300, 300)",14,262
262,"(300, 300)",15,263
263,"(300, 300)",16,264
264,"(300, 300)",17,265
265,"(300, 300)",18,266
266,"(300, 300)",19,267
267,"(300, 300)",20,268
268,"(300, 300)",21,269
269,"(300, 300)",22,270
270,"(300, 300)",23,271
271,"(300, 300)",24,272
272,"(300, 300)",25,273
273,"(300, 300)",26,274
274,"(300, 300)",27,275
275,"(300, 300)",28,276
276,"(300, 300)",29,277
277,"(300, 300)",30,278
278,"(300, 300)",31,279
279,"(300, 300)",32,280
280,"(300, 300)",33,281
281,"(300, 300)",34,282
282,"(300, 300)",35,283
283,"(300, 300)",36,284
284,"(300, 300)",37,285
285,"(300, 300)",38,286
286,"(300, 300)",39,287
287,"(300, 300)",40,288
288,"(300, 300)",41,289
289,"(300, 300)",42,290
290,"(300, 300)",43,291
291,"(300, 300)",44,292
292,"(300, 300)",45,293
293,"(300, 300)",46,294
294,"(300, 300)",47,295
295,"(300, 300)",48,296
296,"(300, 300)",49,297
297,"(300, 300)",50,298
298,"(300, 300)",51,299
299,"(300, 300)",52,300
