,position,condition,step
0,"(25, 78)",1.0,1.0
1,"(27, 76)",1.0,1.0
2,"(27, 77)",1.0,1.0
3,"(24, 77)",1.0,2.0
4,"(25, 79)",1.0,2.0
5,"(28, 76)",1.0,2.0
6,"(24, 78)",1.0,3.0
7,"(25, 80)",1.0,3.0
8,"(26, 79)",1.0,3.0
9,"(26, 80)",1.0,3.0
10,"(29, 75)",1.0,3.0
11,"(23, 78)",1.0,4.0
12,"(24, 79)",1.0,4.0
13,"(27, 79)",1.0,4.0
14,"(27, 81)",1.0,4.0
15,"(29, 74)",1.0,4.0
16,"(22, 77)",1.0,5.0
17,"(22, 78)",1.0,5.0
18,"(26, 81)",1.0,5.0
19,"(27, 80)",1.0,5.0
20,"(28, 74)",1.0,5.0
21,"(28, 78)",1.0,5.0
22,"(28, 80)",1.0,5.0
23,"(30, 73)",1.0,5.0
24,"(21, 78)",1.0,6.0
25,"(22, 79)",1.0,6.0
26,"(23, 79)",1.0,6.0
27,"(26, 82)",1.0,6.0
28,"(27, 73)",1.0,6.0
29,"(27, 74)",1.0,6.0
30,"(27, 82)",1.0,6.0
31,"(28, 79)",1.0,6.0
32,"(28, 81)",1.0,6.0
33,"(29, 79)",1.0,6.0
34,"(30, 72)",1.0,6.0
35,"(20, 79)",1.0,7.0
36,"(21, 79)",1.0,7.0
37,"(21, 80)",1.0,7.0
38,"(22, 80)",1.0,7.0
39,"(25, 83)",1.0,7.0
40,"(26, 73)",1.0,7.0
41,"(26, 74)",1.0,7.0
42,"(26, 75)",1.0,7.0
43,"(26, 83)",1.0,7.0
44,"(27, 72)",1.0,7.0
45,"(27, 83)",1.0,7.0
46,"(28, 72)",1.0,7.0
47,"(29, 71)",1.0,7.0
48,"(29, 78)",1.0,7.0
49,"(29, 80)",1.0,7.0
50,"(30, 80)",1.0,7.0
51,"(31, 71)",1.0,7.0
52,"(19, 78)",1.0,8.0
53,"(20, 80)",1.0,8.0
54,"(20, 81)",1.0,8.0
55,"(21, 81)",1.0,8.0
56,"(24, 83)",1.0,8.0
57,"(25, 73)",1.0,8.0
58,"(25, 74)",1.0,8.0
59,"(25, 84)",1.0,8.0
60,"(26, 84)",1.0,8.0
61,"(28, 84)",1.0,8.0
62,"(29, 70)",1.0,8.0
63,"(30, 70)",1.0,8.0
64,"(30, 71)",1.0,8.0
65,"(30, 77)",1.0,8.0
66,"(31, 70)",1.0,8.0
67,"(32, 70)",1.0,8.0
68,"(18, 78)",1.0,9.0
69,"(19, 81)",1.0,9.0
70,"(20, 82)",1.0,9.0
71,"(21, 82)",1.0,9.0
72,"(22, 81)",1.0,9.0
73,"(23, 83)",1.0,9.0
74,"(24, 75)",1.0,9.0
75,"(24, 84)",1.0,9.0
76,"(25, 72)",1.0,9.0
77,"(25, 85)",1.0,9.0
78,"(26, 85)",1.0,9.0
79,"(29, 69)",1.0,9.0
80,"(31, 69)",1.0,9.0
81,"(31, 78)",1.0,9.0
82,"(32, 69)",1.0,9.0
83,"(33, 69)",1.0,9.0
84,"(33, 70)",1.0,9.0
85,"(33, 71)",1.0,9.0
86,"(17, 77)",1.0,10.0
87,"(17, 79)",1.0,10.0
88,"(18, 79)",1.0,10.0
89,"(20, 83)",1.0,10.0
90,"(21, 83)",1.0,10.0
91,"(22, 83)",1.0,10.0
92,"(23, 74)",1.0,10.0
93,"(25, 86)",1.0,10.0
94,"(26, 71)",1.0,10.0
95,"(27, 86)",1.0,10.0
96,"(29, 68)",1.0,10.0
97,"(30, 68)",1.0,10.0
98,"(30, 69)",1.0,10.0
99,"(32, 68)",1.0,10.0
100,"(32, 72)",1.0,10.0
101,"(32, 79)",1.0,10.0
102,"(33, 68)",1.0,10.0
103,"(33, 72)",1.0,10.0
104,"(34, 70)",1.0,10.0
105,"(34, 72)",1.0,10.0
106,"(16, 76)",1.0,11.0
107,"(16, 80)",1.0,11.0
108,"(18, 76)",1.0,11.0
109,"(18, 80)",1.0,11.0
110,"(20, 84)",1.0,11.0
111,"(21, 84)",1.0,11.0
112,"(22, 73)",1.0,11.0
113,"(22, 84)",1.0,11.0
114,"(23, 73)",1.0,11.0
115,"(23, 75)",1.0,11.0
116,"(24, 87)",1.0,11.0
117,"(25, 71)",1.0,11.0
118,"(26, 70)",1.0,11.0
119,"(26, 87)",1.0,11.0
120,"(29, 67)",1.0,11.0
121,"(30, 67)",1.0,11.0
122,"(31, 67)",1.0,11.0
123,"(31, 72)",1.0,11.0
124,"(33, 73)",1.0,11.0
125,"(33, 79)",1.0,11.0
126,"(33, 80)",1.0,11.0
127,"(34, 73)",1.0,11.0
128,"(35, 69)",1.0,11.0
129,"(35, 72)",1.0,11.0
130,"(15, 80)",1.0,12.0
131,"(17, 75)",1.0,12.0
132,"(17, 80)",1.0,12.0
133,"(18, 75)",1.0,12.0
134,"(19, 75)",1.0,12.0
135,"(19, 76)",1.0,12.0
136,"(21, 72)",1.0,12.0
137,"(21, 73)",1.0,12.0
138,"(21, 74)",1.0,12.0
139,"(21, 85)",1.0,12.0
140,"(22, 72)",1.0,12.0
141,"(22, 75)",1.0,12.0
142,"(22, 85)",1.0,12.0
143,"(23, 72)",1.0,12.0
144,"(23, 87)",1.0,12.0
145,"(24, 88)",1.0,12.0
146,"(25, 69)",1.0,12.0
147,"(25, 70)",1.0,12.0
148,"(25, 87)",1.0,12.0
149,"(26, 69)",1.0,12.0
150,"(27, 87)",1.0,12.0
151,"(27, 88)",1.0,12.0
152,"(28, 66)",1.0,12.0
153,"(28, 68)",1.0,12.0
154,"(29, 66)",1.0,12.0
155,"(30, 66)",1.0,12.0
156,"(32, 66)",1.0,12.0
157,"(32, 74)",1.0,12.0
158,"(33, 74)",1.0,12.0
159,"(34, 74)",1.0,12.0
160,"(34, 78)",1.0,12.0
161,"(34, 79)",1.0,12.0
162,"(34, 81)",1.0,12.0
163,"(35, 70)",1.0,12.0
164,"(35, 73)",1.0,12.0
165,"(35, 74)",1.0,12.0
166,"(36, 68)",1.0,12.0
167,"(36, 73)",1.0,12.0
168,"(14, 79)",1.0,13.0
169,"(14, 80)",1.0,13.0
170,"(16, 75)",1.0,13.0
171,"(18, 74)",1.0,13.0
172,"(20, 72)",1.0,13.0
173,"(20, 74)",1.0,13.0
174,"(20, 75)",1.0,13.0
175,"(20, 76)",1.0,13.0
176,"(21, 71)",1.0,13.0
177,"(22, 71)",1.0,13.0
178,"(22, 87)",1.0,13.0
179,"(22, 88)",1.0,13.0
180,"(23, 71)",1.0,13.0
181,"(23, 86)",1.0,13.0
182,"(24, 68)",1.0,13.0
183,"(24, 69)",1.0,13.0
184,"(25, 68)",1.0,13.0
185,"(26, 68)",1.0,13.0
186,"(26, 89)",1.0,13.0
187,"(27, 68)",1.0,13.0
188,"(27, 69)",1.0,13.0
189,"(27, 89)",1.0,13.0
190,"(28, 86)",1.0,13.0
191,"(28, 87)",1.0,13.0
192,"(28, 89)",1.0,13.0
193,"(29, 65)",1.0,13.0
194,"(30, 65)",1.0,13.0
195,"(31, 66)",1.0,13.0
196,"(33, 81)",1.0,13.0
197,"(35, 67)",1.0,13.0
198,"(35, 78)",1.0,13.0
199,"(35, 80)",1.0,13.0
200,"(35, 82)",1.0,13.0
201,"(36, 67)",1.0,13.0
202,"(36, 74)",1.0,13.0
203,"(37, 68)",1.0,13.0
204,"(37, 73)",1.0,13.0
205,"(13, 80)",1.0,14.0
206,"(13, 81)",1.0,14.0
207,"(18, 73)",1.0,14.0
208,"(20, 71)",1.0,14.0
209,"(21, 75)",1.0,14.0
210,"(21, 76)",1.0,14.0
211,"(21, 87)",1.0,14.0
212,"(22, 70)",1.0,14.0
213,"(23, 89)",1.0,14.0
214,"(25, 90)",1.0,14.0
215,"(26, 88)",1.0,14.0
216,"(26, 90)",1.0,14.0
217,"(27, 67)",1.0,14.0
218,"(28, 88)",1.0,14.0
219,"(29, 64)",1.0,14.0
220,"(29, 86)",1.0,14.0
221,"(29, 87)",1.0,14.0
222,"(29, 88)",1.0,14.0
223,"(29, 90)",1.0,14.0
224,"(34, 67)",1.0,14.0
225,"(35, 66)",1.0,14.0
226,"(36, 66)",1.0,14.0
227,"(36, 69)",1.0,14.0
228,"(36, 77)",1.0,14.0
