,position,condition,step
0,"(34, 43)",1.0,1.0
1,"(35, 44)",1.0,1.0
2,"(36, 41)",1.0,1.0
3,"(33, 43)",1.0,2.0
4,"(33, 44)",1.0,2.0
5,"(34, 45)",1.0,2.0
6,"(35, 40)",1.0,2.0
7,"(36, 40)",1.0,2.0
8,"(36, 45)",1.0,2.0
9,"(37, 40)",1.0,2.0
10,"(32, 43)",1.0,3.0
11,"(32, 44)",1.0,3.0
12,"(33, 45)",1.0,3.0
13,"(34, 44)",1.0,3.0
14,"(34, 46)",1.0,3.0
15,"(37, 45)",1.0,3.0
16,"(38, 39)",1.0,3.0
17,"(31, 45)",1.0,4.0
18,"(33, 46)",1.0,4.0
19,"(35, 47)",1.0,4.0
20,"(37, 44)",1.0,4.0
21,"(38, 40)",1.0,4.0
22,"(38, 44)",1.0,4.0
23,"(38, 46)",1.0,4.0
24,"(39, 38)",1.0,4.0
25,"(39, 39)",1.0,4.0
26,"(39, 40)",1.0,4.0
27,"(30, 44)",1.0,5.0
28,"(30, 46)",1.0,5.0
29,"(32, 47)",1.0,5.0
30,"(34, 48)",1.0,5.0
31,"(35, 48)",1.0,5.0
32,"(36, 47)",1.0,5.0
33,"(37, 43)",1.0,5.0
34,"(37, 46)",1.0,5.0
35,"(37, 47)",1.0,5.0
36,"(38, 41)",1.0,5.0
37,"(38, 43)",1.0,5.0
38,"(38, 45)",1.0,5.0
39,"(39, 41)",1.0,5.0
40,"(39, 43)",1.0,5.0
41,"(39, 45)",1.0,5.0
42,"(40, 40)",1.0,5.0
43,"(40, 41)",1.0,5.0
44,"(29, 44)",1.0,6.0
45,"(30, 43)",1.0,6.0
46,"(30, 47)",1.0,6.0
47,"(31, 47)",1.0,6.0
48,"(31, 48)",1.0,6.0
49,"(32, 48)",1.0,6.0
50,"(33, 48)",1.0,6.0
51,"(37, 48)",1.0,6.0
52,"(38, 42)",1.0,6.0
53,"(38, 47)",1.0,6.0
54,"(39, 42)",1.0,6.0
55,"(40, 42)",1.0,6.0
56,"(40, 43)",1.0,6.0
57,"(40, 46)",1.0,6.0
58,"(41, 40)",1.0,6.0
59,"(41, 42)",1.0,6.0
60,"(28, 44)",1.0,7.0
61,"(30, 48)",1.0,7.0
62,"(31, 43)",1.0,7.0
63,"(32, 49)",1.0,7.0
64,"(36, 49)",1.0,7.0
65,"(37, 49)",1.0,7.0
66,"(40, 47)",1.0,7.0
67,"(41, 39)",1.0,7.0
68,"(41, 43)",1.0,7.0
69,"(41, 45)",1.0,7.0
70,"(42, 39)",1.0,7.0
71,"(27, 43)",1.0,8.0
72,"(27, 45)",1.0,8.0
73,"(28, 43)",1.0,8.0
74,"(30, 49)",1.0,8.0
75,"(39, 48)",1.0,8.0
76,"(41, 38)",1.0,8.0
77,"(41, 47)",1.0,8.0
78,"(42, 46)",1.0,8.0
79,"(43, 38)",1.0,8.0
80,"(43, 39)",1.0,8.0
81,"(43, 40)",1.0,8.0
82,"(26, 42)",1.0,9.0
83,"(26, 43)",1.0,9.0
84,"(27, 42)",1.0,9.0
85,"(27, 44)",1.0,9.0
86,"(28, 42)",1.0,9.0
87,"(29, 42)",1.0,9.0
88,"(29, 49)",1.0,9.0
89,"(30, 50)",1.0,9.0
90,"(40, 48)",1.0,9.0
91,"(41, 37)",1.0,9.0
92,"(42, 37)",1.0,9.0
93,"(43, 45)",1.0,9.0
94,"(44, 37)",1.0,9.0
95,"(25, 41)",1.0,10.0
96,"(27, 41)",1.0,10.0
97,"(28, 48)",1.0,10.0
98,"(29, 50)",1.0,10.0
99,"(29, 51)",1.0,10.0
100,"(30, 41)",1.0,10.0
101,"(30, 51)",1.0,10.0
102,"(39, 49)",1.0,10.0
103,"(40, 36)",1.0,10.0
104,"(41, 49)",1.0,10.0
105,"(42, 36)",1.0,10.0
106,"(42, 44)",1.0,10.0
107,"(43, 36)",1.0,10.0
108,"(43, 37)",1.0,10.0
109,"(43, 44)",1.0,10.0
110,"(44, 46)",1.0,10.0
111,"(45, 37)",1.0,10.0
112,"(45, 38)",1.0,10.0
113,"(24, 42)",1.0,11.0
114,"(27, 40)",1.0,11.0
115,"(28, 40)",1.0,11.0
116,"(28, 49)",1.0,11.0
117,"(28, 50)",1.0,11.0
118,"(28, 52)",1.0,11.0
119,"(30, 40)",1.0,11.0
120,"(30, 52)",1.0,11.0
121,"(31, 40)",1.0,11.0
122,"(39, 50)",1.0,11.0
123,"(40, 50)",1.0,11.0
124,"(41, 35)",1.0,11.0
125,"(42, 48)",1.0,11.0
126,"(42, 49)",1.0,11.0
127,"(43, 47)",1.0,11.0
128,"(45, 36)",1.0,11.0
129,"(45, 46)",1.0,11.0
130,"(46, 37)",1.0,11.0
131,"(23, 42)",1.0,12.0
132,"(26, 40)",1.0,12.0
133,"(27, 50)",1.0,12.0
134,"(27, 51)",1.0,12.0
135,"(29, 52)",1.0,12.0
136,"(29, 53)",1.0,12.0
137,"(31, 39)",1.0,12.0
138,"(31, 53)",1.0,12.0
139,"(32, 40)",1.0,12.0
140,"(39, 51)",1.0,12.0
141,"(40, 34)",1.0,12.0
142,"(41, 50)",1.0,12.0
143,"(43, 48)",1.0,12.0
144,"(43, 49)",1.0,12.0
145,"(44, 35)",1.0,12.0
146,"(44, 47)",1.0,12.0
147,"(45, 47)",1.0,12.0
148,"(46, 35)",1.0,12.0
149,"(46, 46)",1.0,12.0
150,"(47, 37)",1.0,12.0
151,"(22, 41)",1.0,13.0
152,"(22, 42)",1.0,13.0
153,"(26, 50)",1.0,13.0
154,"(28, 53)",1.0,13.0
155,"(28, 54)",1.0,13.0
156,"(29, 54)",1.0,13.0
157,"(30, 38)",1.0,13.0
158,"(31, 38)",1.0,13.0
159,"(32, 53)",1.0,13.0
160,"(32, 54)",1.0,13.0
161,"(33, 39)",1.0,13.0
162,"(38, 51)",1.0,13.0
163,"(39, 33)",1.0,13.0
164,"(40, 33)",1.0,13.0
165,"(40, 52)",1.0,13.0
166,"(41, 33)",1.0,13.0
167,"(44, 34)",1.0,13.0
168,"(45, 34)",1.0,13.0
169,"(46, 34)",1.0,13.0
170,"(46, 47)",1.0,13.0
171,"(46, 48)",1.0,13.0
172,"(47, 36)",1.0,13.0
173,"(47, 46)",1.0,13.0
174,"(48, 36)",1.0,13.0
175,"(21, 40)",1.0,14.0
176,"(23, 40)",1.0,14.0
177,"(25, 51)",1.0,14.0
178,"(27, 54)",1.0,14.0
179,"(28, 55)",1.0,14.0
180,"(29, 55)",1.0,14.0
181,"(31, 54)",1.0,14.0
182,"(31, 55)",1.0,14.0
183,"(32, 37)",1.0,14.0
184,"(33, 38)",1.0,14.0
185,"(37, 50)",1.0,14.0
186,"(37, 51)",1.0,14.0
187,"(38, 34)",1.0,14.0
188,"(38, 52)",1.0,14.0
189,"(39, 32)",1.0,14.0
190,"(39, 53)",1.0,14.0
191,"(40, 53)",1.0,14.0
192,"(41, 53)",1.0,14.0
