,position,condition,step
0,"(54, 15)",1.0,1.0
1,"(55, 15)",1.0,1.0
2,"(54, 14)",1.0,2.0
3,"(55, 14)",1.0,2.0
4,"(56, 15)",1.0,2.0
5,"(54, 13)",1.0,3.0
6,"(56, 13)",1.0,3.0
7,"(56, 14)",1.0,3.0
8,"(57, 15)",1.0,3.0
9,"(57, 16)",1.0,3.0
10,"(55, 12)",1.0,4.0
11,"(57, 13)",1.0,4.0
12,"(58, 14)",1.0,4.0
13,"(55, 11)",1.0,5.0
14,"(56, 11)",1.0,5.0
15,"(56, 12)",1.0,5.0
16,"(54, 11)",1.0,6.0
17,"(55, 10)",1.0,6.0
18,"(56, 10)",1.0,6.0
19,"(53, 10)",1.0,7.0
20,"(56, 9)",1.0,7.0
21,"(57, 10)",1.0,7.0
22,"(52, 10)",1.0,8.0
23,"(52, 11)",1.0,8.0
24,"(53, 9)",1.0,8.0
25,"(56, 8)",1.0,8.0
26,"(57, 11)",1.0,8.0
27,"(51, 11)",1.0,9.0
28,"(53, 12)",1.0,9.0
29,"(56, 7)",1.0,9.0
30,"(58, 10)",1.0,9.0
31,"(50, 10)",1.0,10.0
32,"(50, 11)",1.0,10.0
33,"(52, 12)",1.0,10.0
34,"(52, 13)",1.0,10.0
35,"(53, 13)",1.0,10.0
36,"(58, 9)",1.0,10.0
37,"(49, 10)",1.0,11.0
38,"(52, 14)",1.0,11.0
39,"(53, 14)",1.0,11.0
40,"(48, 9)",1.0,12.0
41,"(49, 9)",1.0,12.0
42,"(52, 15)",1.0,12.0
43,"(53, 15)",1.0,12.0
44,"(47, 8)",1.0,13.0
45,"(47, 9)",1.0,13.0
46,"(48, 8)",1.0,13.0
47,"(50, 8)",1.0,13.0
48,"(51, 16)",1.0,13.0
49,"(46, 8)",1.0,14.0
50,"(46, 9)",1.0,14.0
51,"(47, 7)",1.0,14.0
52,"(49, 7)",1.0,14.0
53,"(50, 15)",1.0,14.0
54,"(51, 8)",1.0,14.0
55,"(45, 7)",1.0,15.0
56,"(45, 8)",1.0,15.0
57,"(45, 9)",1.0,15.0
58,"(48, 6)",1.0,15.0
59,"(49, 6)",1.0,15.0
60,"(49, 16)",1.0,15.0
61,"(50, 6)",1.0,15.0
62,"(50, 16)",1.0,15.0
63,"(44, 7)",1.0,16.0
64,"(44, 8)",1.0,16.0
65,"(44, 9)",1.0,16.0
66,"(44, 10)",1.0,16.0
67,"(46, 10)",1.0,16.0
68,"(48, 5)",1.0,16.0
69,"(48, 15)",1.0,16.0
70,"(50, 17)",1.0,16.0
71,"(51, 5)",1.0,16.0
72,"(51, 7)",1.0,16.0
73,"(43, 8)",1.0,17.0
74,"(45, 6)",1.0,17.0
75,"(47, 5)",1.0,17.0
76,"(47, 14)",1.0,17.0
77,"(47, 16)",1.0,17.0
78,"(49, 4)",1.0,17.0
79,"(50, 4)",1.0,17.0
80,"(50, 18)",1.0,17.0
81,"(42, 7)",1.0,18.0
82,"(46, 5)",1.0,18.0
83,"(46, 13)",1.0,18.0
84,"(46, 14)",1.0,18.0
85,"(46, 15)",1.0,18.0
86,"(46, 17)",1.0,18.0
87,"(47, 13)",1.0,18.0
88,"(48, 3)",1.0,18.0
89,"(49, 3)",1.0,18.0
90,"(51, 4)",1.0,18.0
91,"(41, 7)",1.0,19.0
92,"(45, 4)",1.0,19.0
93,"(45, 12)",1.0,19.0
94,"(45, 16)",1.0,19.0
95,"(45, 18)",1.0,19.0
96,"(46, 16)",1.0,19.0
97,"(46, 18)",1.0,19.0
98,"(47, 3)",1.0,19.0
99,"(48, 2)",1.0,19.0
100,"(52, 4)",1.0,19.0
101,"(40, 8)",1.0,20.0
102,"(44, 5)",1.0,20.0
103,"(44, 13)",1.0,20.0
104,"(44, 16)",1.0,20.0
105,"(44, 17)",1.0,20.0
106,"(45, 5)",1.0,20.0
107,"(45, 19)",1.0,20.0
108,"(46, 4)",1.0,20.0
109,"(47, 1)",1.0,20.0
110,"(47, 17)",1.0,20.0
111,"(47, 18)",1.0,20.0
112,"(49, 1)",1.0,20.0
113,"(52, 3)",1.0,20.0
114,"(52, 5)",1.0,20.0
115,"(53, 3)",1.0,20.0
116,"(53, 4)",1.0,20.0
117,"(53, 5)",1.0,20.0
118,"(39, 8)",1.0,21.0
119,"(39, 9)",1.0,21.0
120,"(43, 4)",1.0,21.0
121,"(43, 13)",1.0,21.0
122,"(43, 16)",1.0,21.0
123,"(43, 17)",1.0,21.0
124,"(44, 4)",1.0,21.0
125,"(44, 19)",1.0,21.0
126,"(45, 20)",1.0,21.0
127,"(46, 0)",1.0,21.0
128,"(48, 0)",1.0,21.0
129,"(48, 18)",1.0,21.0
130,"(50, 0)",1.0,21.0
131,"(50, 2)",1.0,21.0
132,"(52, 2)",1.0,21.0
133,"(53, 2)",1.0,21.0
134,"(53, 6)",1.0,21.0
135,"(54, 3)",1.0,21.0
136,"(38, 8)",1.0,22.0
137,"(38, 9)",1.0,22.0
138,"(38, 10)",1.0,22.0
139,"(39, 10)",1.0,22.0
140,"(40, 9)",1.0,22.0
141,"(42, 5)",1.0,22.0
142,"(42, 13)",1.0,22.0
143,"(43, 3)",1.0,22.0
144,"(43, 18)",1.0,22.0
145,"(44, 14)",1.0,22.0
146,"(44, 15)",1.0,22.0
147,"(44, 21)",1.0,22.0
148,"(45, 1)",1.0,22.0
149,"(51, 2)",1.0,22.0
150,"(53, 1)",1.0,22.0
151,"(53, 7)",1.0,22.0
152,"(55, 3)",1.0,22.0
153,"(55, 4)",1.0,22.0
154,"(37, 8)",1.0,23.0
155,"(37, 11)",1.0,23.0
156,"(38, 7)",1.0,23.0
157,"(41, 5)",1.0,23.0
158,"(41, 10)",1.0,23.0
159,"(41, 14)",1.0,23.0
160,"(42, 3)",1.0,23.0
161,"(42, 6)",1.0,23.0
162,"(42, 18)",1.0,23.0
163,"(42, 19)",1.0,23.0
164,"(43, 21)",1.0,23.0
165,"(43, 22)",1.0,23.0
166,"(44, 0)",1.0,23.0
167,"(44, 2)",1.0,23.0
168,"(45, 22)",1.0,23.0
169,"(53, 0)",1.0,23.0
170,"(54, 0)",1.0,23.0
171,"(56, 3)",1.0,23.0
172,"(56, 4)",1.0,23.0
173,"(36, 7)",1.0,24.0
174,"(36, 11)",1.0,24.0
175,"(36, 12)",1.0,24.0
176,"(37, 10)",1.0,24.0
177,"(38, 12)",1.0,24.0
178,"(40, 5)",1.0,24.0
179,"(40, 13)",1.0,24.0
180,"(40, 14)",1.0,24.0
181,"(41, 4)",1.0,24.0
182,"(41, 19)",1.0,24.0
183,"(42, 14)",1.0,24.0
184,"(42, 15)",1.0,24.0
185,"(42, 20)",1.0,24.0
186,"(42, 21)",1.0,24.0
187,"(42, 23)",1.0,24.0
188,"(43, 1)",1.0,24.0
189,"(44, 22)",1.0,24.0
190,"(44, 23)",1.0,24.0
191,"(45, 0)",1.0,24.0
192,"(45, 23)",1.0,24.0
193,"(46, 22)",1.0,24.0
194,"(57, 3)",1.0,24.0
195,"(57, 4)",1.0,24.0
196,"(35, 7)",1.0,25.0
197,"(35, 8)",1.0,25.0
198,"(35, 12)",1.0,25.0
199,"(36, 13)",1.0,25.0
200,"(37, 13)",1.0,25.0
201,"(39, 6)",1.0,25.0
202,"(39, 12)",1.0,25.0
203,"(39, 13)",1.0,25.0
204,"(40, 4)",1.0,25.0
205,"(40, 12)",1.0,25.0
206,"(41, 16)",1.0,25.0
207,"(41, 20)",1.0,25.0
208,"(41, 21)",1.0,25.0
209,"(42, 16)",1.0,25.0
210,"(43, 23)",1.0,25.0
211,"(46, 23)",1.0,25.0
212,"(46, 24)",1.0,25.0
213,"(56, 5)",1.0,25.0
214,"(58, 5)",1.0,25.0
215,"(35, 14)",1.0,26.0
216,"(37, 14)",1.0,26.0
217,"(38, 5)",1.0,26.0
218,"(38, 6)",1.0,26.0
219,"(38, 13)",1.0,26.0
220,"(38, 14)",1.0,26.0
221,"(39, 3)",1.0,26.0
222,"(40, 17)",1.0,26.0
223,"(40, 21)",1.0,26.0
224,"(40, 22)",1.0,26.0
