,position,condition,step
0,"(57, 66)",1.0,1.0
1,"(59, 63)",1.0,1.0
2,"(59, 66)",1.0,1.0
3,"(60, 65)",1.0,1.0
4,"(60, 66)",1.0,1.0
5,"(58, 66)",1.0,2.0
6,"(58, 67)",1.0,2.0
7,"(60, 62)",1.0,2.0
8,"(60, 67)",1.0,2.0
9,"(57, 67)",1.0,3.0
10,"(57, 68)",1.0,3.0
11,"(59, 67)",1.0,3.0
12,"(59, 68)",1.0,3.0
13,"(60, 61)",1.0,3.0
14,"(60, 68)",1.0,3.0
15,"(61, 61)",1.0,3.0
16,"(56, 68)",1.0,4.0
17,"(58, 68)",1.0,4.0
18,"(60, 60)",1.0,4.0
19,"(61, 60)",1.0,4.0
20,"(55, 68)",1.0,5.0
21,"(56, 69)",1.0,5.0
22,"(57, 69)",1.0,5.0
23,"(59, 59)",1.0,5.0
24,"(59, 61)",1.0,5.0
25,"(60, 59)",1.0,5.0
26,"(61, 59)",1.0,5.0
27,"(56, 70)",1.0,6.0
28,"(58, 58)",1.0,6.0
29,"(60, 58)",1.0,6.0
30,"(61, 58)",1.0,6.0
31,"(57, 70)",1.0,7.0
32,"(57, 71)",1.0,7.0
33,"(59, 57)",1.0,7.0
34,"(60, 57)",1.0,7.0
35,"(57, 72)",1.0,8.0
36,"(58, 56)",1.0,8.0
37,"(58, 70)",1.0,8.0
38,"(58, 72)",1.0,8.0
39,"(60, 56)",1.0,8.0
40,"(61, 56)",1.0,8.0
41,"(61, 57)",1.0,8.0
42,"(57, 56)",1.0,9.0
43,"(57, 57)",1.0,9.0
44,"(57, 73)",1.0,9.0
45,"(58, 55)",1.0,9.0
46,"(58, 73)",1.0,9.0
47,"(59, 55)",1.0,9.0
48,"(62, 56)",1.0,9.0
49,"(56, 57)",1.0,10.0
50,"(56, 73)",1.0,10.0
51,"(57, 54)",1.0,10.0
52,"(57, 74)",1.0,10.0
53,"(58, 74)",1.0,10.0
54,"(59, 54)",1.0,10.0
55,"(59, 72)",1.0,10.0
56,"(59, 73)",1.0,10.0
57,"(55, 72)",1.0,11.0
58,"(56, 53)",1.0,11.0
59,"(56, 74)",1.0,11.0
60,"(56, 75)",1.0,11.0
61,"(57, 53)",1.0,11.0
62,"(57, 75)",1.0,11.0
63,"(58, 75)",1.0,11.0
64,"(59, 74)",1.0,11.0
65,"(60, 71)",1.0,11.0
66,"(60, 72)",1.0,11.0
67,"(54, 71)",1.0,12.0
68,"(55, 53)",1.0,12.0
69,"(55, 54)",1.0,12.0
70,"(55, 73)",1.0,12.0
71,"(55, 75)",1.0,12.0
72,"(56, 52)",1.0,12.0
73,"(56, 54)",1.0,12.0
74,"(58, 52)",1.0,12.0
75,"(59, 76)",1.0,12.0
76,"(61, 70)",1.0,12.0
77,"(54, 55)",1.0,13.0
78,"(54, 70)",1.0,13.0
79,"(54, 73)",1.0,13.0
80,"(54, 74)",1.0,13.0
81,"(54, 75)",1.0,13.0
82,"(54, 76)",1.0,13.0
83,"(55, 52)",1.0,13.0
84,"(55, 55)",1.0,13.0
85,"(59, 51)",1.0,13.0
86,"(60, 76)",1.0,13.0
87,"(60, 77)",1.0,13.0
88,"(62, 71)",1.0,13.0
89,"(53, 56)",1.0,14.0
90,"(53, 73)",1.0,14.0
91,"(53, 74)",1.0,14.0
92,"(53, 75)",1.0,14.0
93,"(53, 76)",1.0,14.0
94,"(54, 77)",1.0,14.0
95,"(55, 56)",1.0,14.0
96,"(55, 77)",1.0,14.0
97,"(59, 50)",1.0,14.0
98,"(59, 77)",1.0,14.0
99,"(59, 78)",1.0,14.0
100,"(60, 50)",1.0,14.0
101,"(60, 52)",1.0,14.0
102,"(60, 75)",1.0,14.0
103,"(61, 72)",1.0,14.0
104,"(61, 75)",1.0,14.0
105,"(61, 77)",1.0,14.0
106,"(63, 71)",1.0,14.0
107,"(52, 55)",1.0,15.0
108,"(52, 56)",1.0,15.0
109,"(52, 57)",1.0,15.0
110,"(52, 73)",1.0,15.0
111,"(52, 74)",1.0,15.0
112,"(52, 75)",1.0,15.0
113,"(52, 77)",1.0,15.0
114,"(53, 55)",1.0,15.0
115,"(53, 57)",1.0,15.0
116,"(53, 77)",1.0,15.0
117,"(53, 78)",1.0,15.0
118,"(58, 49)",1.0,15.0
119,"(58, 78)",1.0,15.0
120,"(59, 52)",1.0,15.0
121,"(59, 79)",1.0,15.0
122,"(60, 78)",1.0,15.0
123,"(60, 79)",1.0,15.0
124,"(61, 51)",1.0,15.0
125,"(61, 73)",1.0,15.0
126,"(62, 72)",1.0,15.0
127,"(62, 75)",1.0,15.0
128,"(62, 76)",1.0,15.0
129,"(62, 78)",1.0,15.0
130,"(64, 70)",1.0,15.0
131,"(64, 71)",1.0,15.0
132,"(51, 54)",1.0,16.0
133,"(51, 56)",1.0,16.0
134,"(51, 72)",1.0,16.0
135,"(52, 58)",1.0,16.0
136,"(52, 72)",1.0,16.0
137,"(52, 79)",1.0,16.0
138,"(53, 58)",1.0,16.0
139,"(53, 79)",1.0,16.0
140,"(57, 79)",1.0,16.0
141,"(58, 80)",1.0,16.0
142,"(59, 80)",1.0,16.0
143,"(62, 51)",1.0,16.0
144,"(62, 79)",1.0,16.0
145,"(63, 75)",1.0,16.0
146,"(63, 76)",1.0,16.0
147,"(65, 72)",1.0,16.0
148,"(50, 53)",1.0,17.0
149,"(50, 54)",1.0,17.0
150,"(50, 55)",1.0,17.0
151,"(50, 56)",1.0,17.0
152,"(51, 53)",1.0,17.0
153,"(51, 55)",1.0,17.0
154,"(51, 57)",1.0,17.0
155,"(51, 58)",1.0,17.0
156,"(52, 53)",1.0,17.0
157,"(52, 59)",1.0,17.0
158,"(53, 80)",1.0,17.0
159,"(54, 59)",1.0,17.0
160,"(56, 79)",1.0,17.0
161,"(58, 81)",1.0,17.0
162,"(60, 80)",1.0,17.0
163,"(62, 52)",1.0,17.0
164,"(63, 52)",1.0,17.0
165,"(63, 74)",1.0,17.0
166,"(63, 78)",1.0,17.0
167,"(63, 79)",1.0,17.0
168,"(64, 73)",1.0,17.0
169,"(64, 76)",1.0,17.0
170,"(64, 77)",1.0,17.0
171,"(65, 73)",1.0,17.0
172,"(66, 71)",1.0,17.0
173,"(66, 73)",1.0,17.0
174,"(49, 54)",1.0,18.0
175,"(49, 55)",1.0,18.0
176,"(49, 56)",1.0,18.0
177,"(49, 57)",1.0,18.0
178,"(50, 52)",1.0,18.0
179,"(50, 58)",1.0,18.0
180,"(50, 59)",1.0,18.0
181,"(51, 52)",1.0,18.0
182,"(52, 52)",1.0,18.0
183,"(52, 60)",1.0,18.0
184,"(52, 80)",1.0,18.0
185,"(52, 81)",1.0,18.0
186,"(53, 53)",1.0,18.0
187,"(53, 81)",1.0,18.0
188,"(54, 81)",1.0,18.0
189,"(55, 59)",1.0,18.0
190,"(57, 80)",1.0,18.0
191,"(61, 80)",1.0,18.0
192,"(61, 81)",1.0,18.0
193,"(62, 53)",1.0,18.0
194,"(63, 53)",1.0,18.0
195,"(64, 80)",1.0,18.0
