,position,condition,step
0,"(60, 87)",1.0,1.0
1,"(61, 88)",1.0,2.0
2,"(62, 89)",1.0,3.0
3,"(62, 90)",1.0,4.0
4,"(63, 90)",1.0,4.0
5,"(61, 90)",1.0,5.0
6,"(63, 89)",1.0,5.0
7,"(63, 91)",1.0,5.0
8,"(64, 90)",1.0,5.0
9,"(60, 89)",1.0,6.0
10,"(60, 90)",1.0,6.0
11,"(60, 91)",1.0,6.0
12,"(63, 88)",1.0,6.0
13,"(65, 89)",1.0,6.0
14,"(65, 91)",1.0,6.0
15,"(59, 91)",1.0,7.0
16,"(62, 87)",1.0,7.0
17,"(63, 87)",1.0,7.0
18,"(64, 88)",1.0,7.0
19,"(64, 92)",1.0,7.0
20,"(65, 90)",1.0,7.0
21,"(66, 89)",1.0,7.0
22,"(66, 91)",1.0,7.0
23,"(66, 92)",1.0,7.0
24,"(58, 91)",1.0,8.0
25,"(58, 92)",1.0,8.0
26,"(64, 86)",1.0,8.0
27,"(64, 93)",1.0,8.0
28,"(65, 88)",1.0,8.0
29,"(65, 93)",1.0,8.0
30,"(66, 93)",1.0,8.0
31,"(67, 88)",1.0,8.0
32,"(67, 91)",1.0,8.0
33,"(57, 92)",1.0,9.0
34,"(57, 93)",1.0,9.0
35,"(58, 90)",1.0,9.0
36,"(63, 93)",1.0,9.0
37,"(65, 92)",1.0,9.0
38,"(66, 94)",1.0,9.0
39,"(67, 93)",1.0,9.0
40,"(68, 88)",1.0,9.0
41,"(68, 89)",1.0,9.0
42,"(68, 90)",1.0,9.0
43,"(56, 94)",1.0,10.0
44,"(57, 90)",1.0,10.0
45,"(58, 94)",1.0,10.0
46,"(62, 94)",1.0,10.0
47,"(65, 95)",1.0,10.0
48,"(67, 87)",1.0,10.0
49,"(67, 95)",1.0,10.0
50,"(68, 94)",1.0,10.0
51,"(69, 87)",1.0,10.0
52,"(69, 88)",1.0,10.0
53,"(69, 89)",1.0,10.0
54,"(69, 91)",1.0,10.0
55,"(55, 93)",1.0,11.0
56,"(55, 95)",1.0,11.0
57,"(57, 94)",1.0,11.0
58,"(57, 95)",1.0,11.0
59,"(58, 95)",1.0,11.0
60,"(59, 93)",1.0,11.0
61,"(59, 94)",1.0,11.0
62,"(61, 93)",1.0,11.0
63,"(61, 95)",1.0,11.0
64,"(63, 95)",1.0,11.0
65,"(66, 95)",1.0,11.0
66,"(67, 94)",1.0,11.0
67,"(68, 86)",1.0,11.0
68,"(68, 87)",1.0,11.0
69,"(69, 92)",1.0,11.0
70,"(69, 93)",1.0,11.0
71,"(69, 94)",1.0,11.0
72,"(69, 95)",1.0,11.0
73,"(70, 88)",1.0,11.0
74,"(70, 91)",1.0,11.0
75,"(54, 92)",1.0,12.0
76,"(54, 93)",1.0,12.0
77,"(54, 96)",1.0,12.0
78,"(55, 94)",1.0,12.0
79,"(55, 96)",1.0,12.0
80,"(57, 96)",1.0,12.0
81,"(58, 96)",1.0,12.0
82,"(59, 95)",1.0,12.0
83,"(59, 96)",1.0,12.0
84,"(60, 94)",1.0,12.0
85,"(60, 95)",1.0,12.0
86,"(61, 94)",1.0,12.0
87,"(64, 96)",1.0,12.0
88,"(65, 96)",1.0,12.0
89,"(67, 85)",1.0,12.0
90,"(70, 92)",1.0,12.0
91,"(70, 93)",1.0,12.0
92,"(70, 94)",1.0,12.0
93,"(71, 87)",1.0,12.0
94,"(71, 88)",1.0,12.0
95,"(53, 93)",1.0,13.0
96,"(53, 97)",1.0,13.0
97,"(55, 91)",1.0,13.0
98,"(55, 92)",1.0,13.0
99,"(56, 97)",1.0,13.0
100,"(57, 97)",1.0,13.0
101,"(59, 97)",1.0,13.0
102,"(61, 96)",1.0,13.0
103,"(65, 97)",1.0,13.0
104,"(66, 85)",1.0,13.0
105,"(66, 86)",1.0,13.0
106,"(67, 84)",1.0,13.0
107,"(70, 95)",1.0,13.0
108,"(71, 86)",1.0,13.0
109,"(71, 89)",1.0,13.0
110,"(72, 87)",1.0,13.0
111,"(72, 88)",1.0,13.0
112,"(72, 89)",1.0,13.0
113,"(52, 93)",1.0,14.0
114,"(53, 96)",1.0,14.0
115,"(56, 92)",1.0,14.0
116,"(56, 98)",1.0,14.0
117,"(57, 98)",1.0,14.0
118,"(60, 98)",1.0,14.0
119,"(61, 97)",1.0,14.0
120,"(62, 97)",1.0,14.0
121,"(65, 85)",1.0,14.0
122,"(68, 83)",1.0,14.0
123,"(68, 84)",1.0,14.0
124,"(71, 95)",1.0,14.0
125,"(71, 96)",1.0,14.0
126,"(72, 85)",1.0,14.0
127,"(72, 90)",1.0,14.0
128,"(73, 86)",1.0,14.0
129,"(73, 87)",1.0,14.0
