,position,condition,step
0,"(12, 69)",1.0,1.0
1,"(12, 71)",1.0,1.0
2,"(13, 69)",1.0,1.0
3,"(11, 70)",1.0,2.0
4,"(13, 72)",1.0,2.0
5,"(14, 68)",1.0,2.0
6,"(10, 69)",1.0,3.0
7,"(11, 69)",1.0,3.0
8,"(12, 73)",1.0,3.0
9,"(13, 67)",1.0,3.0
10,"(13, 73)",1.0,3.0
11,"(14, 67)",1.0,3.0
12,"(11, 72)",1.0,4.0
13,"(11, 74)",1.0,4.0
14,"(12, 67)",1.0,4.0
15,"(14, 66)",1.0,4.0
16,"(15, 66)",1.0,4.0
17,"(10, 75)",1.0,5.0
18,"(11, 73)",1.0,5.0
19,"(15, 65)",1.0,5.0
20,"(16, 65)",1.0,5.0
21,"(9, 74)",1.0,6.0
22,"(11, 75)",1.0,6.0
23,"(11, 76)",1.0,6.0
24,"(14, 64)",1.0,6.0
25,"(17, 66)",1.0,6.0
26,"(8, 73)",1.0,7.0
27,"(8, 74)",1.0,7.0
28,"(9, 73)",1.0,7.0
29,"(9, 75)",1.0,7.0
30,"(10, 77)",1.0,7.0
31,"(12, 76)",1.0,7.0
32,"(14, 63)",1.0,7.0
33,"(15, 63)",1.0,7.0
34,"(17, 65)",1.0,7.0
35,"(17, 67)",1.0,7.0
36,"(18, 66)",1.0,7.0
37,"(7, 73)",1.0,8.0
38,"(7, 74)",1.0,8.0
39,"(7, 75)",1.0,8.0
40,"(8, 76)",1.0,8.0
41,"(9, 72)",1.0,8.0
42,"(10, 78)",1.0,8.0
43,"(11, 77)",1.0,8.0
44,"(11, 78)",1.0,8.0
45,"(13, 62)",1.0,8.0
46,"(15, 62)",1.0,8.0
47,"(16, 63)",1.0,8.0
48,"(16, 68)",1.0,8.0
49,"(17, 68)",1.0,8.0
50,"(18, 68)",1.0,8.0
51,"(19, 66)",1.0,8.0
52,"(19, 67)",1.0,8.0
53,"(6, 72)",1.0,9.0
54,"(6, 74)",1.0,9.0
55,"(6, 75)",1.0,9.0
56,"(8, 77)",1.0,9.0
57,"(9, 79)",1.0,9.0
58,"(10, 79)",1.0,9.0
59,"(16, 61)",1.0,9.0
60,"(16, 69)",1.0,9.0
61,"(17, 62)",1.0,9.0
62,"(17, 63)",1.0,9.0
63,"(17, 69)",1.0,9.0
64,"(18, 69)",1.0,9.0
65,"(5, 71)",1.0,10.0
66,"(5, 72)",1.0,10.0
67,"(5, 73)",1.0,10.0
68,"(5, 75)",1.0,10.0
69,"(6, 71)",1.0,10.0
70,"(7, 71)",1.0,10.0
71,"(7, 77)",1.0,10.0
72,"(7, 78)",1.0,10.0
73,"(8, 78)",1.0,10.0
74,"(8, 79)",1.0,10.0
75,"(9, 80)",1.0,10.0
76,"(15, 70)",1.0,10.0
77,"(16, 60)",1.0,10.0
78,"(16, 62)",1.0,10.0
79,"(16, 70)",1.0,10.0
80,"(17, 61)",1.0,10.0
81,"(18, 62)",1.0,10.0
82,"(18, 70)",1.0,10.0
83,"(19, 68)",1.0,10.0
84,"(19, 69)",1.0,10.0
85,"(4, 70)",1.0,11.0
86,"(4, 71)",1.0,11.0
87,"(4, 73)",1.0,11.0
88,"(4, 74)",1.0,11.0
89,"(6, 70)",1.0,11.0
90,"(6, 78)",1.0,11.0
91,"(6, 79)",1.0,11.0
92,"(7, 70)",1.0,11.0
93,"(7, 79)",1.0,11.0
94,"(7, 80)",1.0,11.0
