,position,condition,step
0,"(57, 44)",1.0,1.0
1,"(58, 47)",1.0,1.0
2,"(59, 47)",1.0,1.0
3,"(57, 48)",1.0,2.0
4,"(58, 44)",1.0,2.0
5,"(59, 48)",1.0,2.0
6,"(56, 49)",1.0,3.0
7,"(58, 48)",1.0,3.0
8,"(59, 49)",1.0,3.0
9,"(60, 47)",1.0,3.0
10,"(55, 48)",1.0,4.0
11,"(55, 50)",1.0,4.0
12,"(56, 50)",1.0,4.0
13,"(57, 50)",1.0,4.0
14,"(61, 48)",1.0,4.0
15,"(54, 51)",1.0,5.0
16,"(55, 51)",1.0,5.0
17,"(57, 51)",1.0,5.0
18,"(58, 51)",1.0,5.0
19,"(61, 47)",1.0,5.0
20,"(61, 49)",1.0,5.0
21,"(62, 47)",1.0,5.0
22,"(53, 51)",1.0,6.0
23,"(53, 52)",1.0,6.0
24,"(54, 52)",1.0,6.0
25,"(56, 52)",1.0,6.0
26,"(57, 52)",1.0,6.0
27,"(58, 50)",1.0,6.0
28,"(58, 52)",1.0,6.0
29,"(59, 52)",1.0,6.0
30,"(62, 46)",1.0,6.0
31,"(62, 48)",1.0,6.0
32,"(63, 46)",1.0,6.0
33,"(52, 51)",1.0,7.0
34,"(54, 53)",1.0,7.0
35,"(55, 52)",1.0,7.0
36,"(55, 53)",1.0,7.0
37,"(59, 51)",1.0,7.0
38,"(59, 53)",1.0,7.0
39,"(61, 45)",1.0,7.0
40,"(63, 45)",1.0,7.0
41,"(64, 45)",1.0,7.0
42,"(64, 47)",1.0,7.0
43,"(51, 50)",1.0,8.0
44,"(51, 51)",1.0,8.0
45,"(52, 50)",1.0,8.0
46,"(54, 54)",1.0,8.0
47,"(56, 53)",1.0,8.0
48,"(59, 54)",1.0,8.0
49,"(60, 51)",1.0,8.0
50,"(60, 53)",1.0,8.0
51,"(61, 44)",1.0,8.0
52,"(62, 44)",1.0,8.0
53,"(63, 44)",1.0,8.0
54,"(64, 44)",1.0,8.0
55,"(64, 46)",1.0,8.0
56,"(65, 45)",1.0,8.0
57,"(65, 46)",1.0,8.0
58,"(65, 47)",1.0,8.0
59,"(65, 48)",1.0,8.0
60,"(50, 50)",1.0,9.0
61,"(50, 51)",1.0,9.0
62,"(50, 52)",1.0,9.0
63,"(52, 49)",1.0,9.0
64,"(53, 49)",1.0,9.0
65,"(53, 55)",1.0,9.0
66,"(54, 55)",1.0,9.0
67,"(56, 54)",1.0,9.0
68,"(58, 54)",1.0,9.0
69,"(58, 55)",1.0,9.0
70,"(60, 54)",1.0,9.0
71,"(61, 43)",1.0,9.0
72,"(61, 52)",1.0,9.0
73,"(61, 54)",1.0,9.0
74,"(62, 43)",1.0,9.0
75,"(63, 43)",1.0,9.0
76,"(65, 49)",1.0,9.0
77,"(66, 44)",1.0,9.0
78,"(66, 45)",1.0,9.0
79,"(66, 46)",1.0,9.0
80,"(66, 48)",1.0,9.0
81,"(49, 49)",1.0,10.0
82,"(49, 50)",1.0,10.0
83,"(49, 52)",1.0,10.0
84,"(50, 49)",1.0,10.0
85,"(50, 53)",1.0,10.0
86,"(51, 53)",1.0,10.0
87,"(52, 48)",1.0,10.0
88,"(52, 54)",1.0,10.0
89,"(52, 55)",1.0,10.0
90,"(53, 56)",1.0,10.0
91,"(54, 48)",1.0,10.0
92,"(57, 54)",1.0,10.0
93,"(57, 56)",1.0,10.0
94,"(61, 42)",1.0,10.0
95,"(61, 53)",1.0,10.0
96,"(61, 55)",1.0,10.0
97,"(62, 42)",1.0,10.0
98,"(62, 53)",1.0,10.0
99,"(66, 43)",1.0,10.0
100,"(67, 45)",1.0,10.0
101,"(67, 46)",1.0,10.0
102,"(67, 49)",1.0,10.0
103,"(48, 50)",1.0,11.0
104,"(49, 53)",1.0,11.0
105,"(49, 54)",1.0,11.0
106,"(50, 48)",1.0,11.0
107,"(50, 54)",1.0,11.0
108,"(51, 48)",1.0,11.0
109,"(51, 54)",1.0,11.0
110,"(51, 56)",1.0,11.0
