,fire_data,qty_sensor,burned_areas,detected_sensors,VP,VN,FP,FN,Acc,Precisão,Recall
54,17,9,"[1.0, 2.0, 4.0, 5.0, 7.0, 8.0, 9.0]","[1, 4, 5, 7, 8]",5,1,0,2,0.6666666666666666,1.0,0.7142857142857143
55,18,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[1, 2, 3, 4, 5, 6, 7, 8]",8,0,0,0,0.8888888888888888,1.0,1.0
56,19,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[2, 4, 5, 6, 7, 8, 9]",7,2,0,0,1.0,1.0,1.0
57,1,16,"[1, 2, 5, 6, 9]","[1, 2, 5, 9]",4,1,0,10,0.3125,1.0,0.2857142857142857
58,2,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 2]",12,2,0,1,0.875,1.0,0.9230769230769231
59,3,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 13]",16,0,0,0,1.0,1.0,1.0
60,4,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 13]",15,1,0,0,1.0,1.0,1.0
61,5,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",16,0,0,0,1.0,1.0,1.0
62,6,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",15,0,0,0,0.9375,1.0,1.0
63,7,16,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 12]",14,1,0,1,0.9375,1.0,0.9333333333333333
64,8,16,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]","[2, 3, 4, 6, 7, 8, 9, 10, 13, 14]",10,3,0,2,0.8125,1.0,0.8333333333333334
65,9,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 13]",13,3,0,0,1.0,1.0,1.0
66,10,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 11]",14,2,0,0,1.0,1.0,1.0
67,11,16,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16]","[2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 1]",13,1,0,2,0.875,1.0,0.8666666666666667
68,12,16,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16]","[2, 3, 4, 6, 7, 8, 10, 11, 12, 15, 14]",11,2,0,2,0.8125,1.0,0.8461538461538461
69,13,16,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 12]",9,1,0,5,0.625,1.0,0.6428571428571429
70,14,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,1,0,0,0.9375,1.0,1.0
71,15,16,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",14,0,0,2,0.875,1.0,0.875
72,16,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",15,1,0,0,1.0,1.0,1.0
73,17,16,"[1, 2, 5, 6, 7, 9, 10, 11, 13, 14, 15]","[1, 5, 6, 9, 10, 13, 14, 15, 2, 11]",10,1,0,4,0.6875,1.0,0.7142857142857143
74,18,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",15,0,0,0,0.9375,1.0,1.0
