Timestamp,Bytes Used
2023-08-18 15:32:56,952976
2023-08-18 15:33:06,962328
2023-08-18 15:33:16,962328
2023-08-18 15:33:26,962328
2023-08-18 15:33:36,1059112
2023-08-18 15:33:46,1059112
2023-08-18 15:33:56,1059112
2023-08-18 15:34:06,1059112
2023-08-18 15:34:16,1059112
2023-08-18 15:34:26,1059112
2023-08-18 15:34:36,1059112
2023-08-18 15:34:46,1059112
2023-08-18 15:34:56,1059112
2023-08-18 15:35:06,1174096
2023-08-18 15:35:16,1178256
2023-08-18 15:35:26,1182416
2023-08-18 15:35:36,1186560
2023-08-18 15:35:46,1190696
2023-08-18 15:35:56,1194856
2023-08-18 15:36:06,1203152
2023-08-18 15:36:16,1207296
2023-08-18 15:36:26,1211448
2023-08-18 15:36:36,1215592
2023-08-18 15:36:46,1219736
2023-08-18 15:36:56,1223896
2023-08-18 15:37:06,1232184
2023-08-18 15:37:16,1236320
2023-08-18 15:37:26,1240464
2023-08-18 15:37:36,1244632
2023-08-18 15:37:46,1248768
2023-08-18 15:37:56,1252936
2023-08-18 15:38:06,1257072
2023-08-18 15:38:16,1265360
2023-08-18 15:38:26,1269496
2023-08-18 15:38:36,1273648
2023-08-18 15:38:46,1277808
2023-08-18 15:38:56,1281952
2023-08-18 15:39:06,1286104
2023-08-18 15:39:16,1294400
2023-08-18 15:39:26,1298544
2023-08-18 15:39:36,1302696
2023-08-18 15:39:46,1306848
2023-08-18 15:39:56,1310992
2023-08-18 15:40:06,1315144
2023-08-18 15:40:16,1319288
2023-08-18 15:40:26,1327584
2023-08-18 15:40:36,1331720
2023-08-18 15:40:46,1335872
2023-08-18 15:40:56,1340032
2023-08-18 15:41:06,1344176
2023-08-18 15:41:16,1348320
2023-08-18 15:41:26,1356624
2023-08-18 15:41:36,1360768
2023-08-18 15:41:46,1364904
2023-08-18 15:41:56,1369064
2023-08-18 15:42:06,1373232
2023-08-18 15:42:16,1377352
2023-08-18 15:42:26,1385656
2023-08-18 15:42:36,1389808
2023-08-18 15:42:46,1393936
2023-08-18 15:42:56,1398088
2023-08-18 15:43:06,1402248
2023-08-18 15:43:16,1406392
2023-08-18 15:43:26,1410536
2023-08-18 15:43:36,1418832
2023-08-18 15:43:46,1422992
2023-08-18 15:43:56,1427120
2023-08-18 15:44:06,1431280
2023-08-18 15:44:16,1435424
2023-08-18 15:44:26,1439568
2023-08-18 15:44:36,1447872
2023-08-18 15:44:46,1452024
2023-08-18 15:44:56,1456152
2023-08-18 15:45:06,1460304
2023-08-18 15:45:16,1464464
2023-08-18 15:45:26,1468608
2023-08-18 15:45:36,1476912
2023-08-18 15:45:46,1481048
2023-08-18 15:45:56,1485200
2023-08-18 15:46:06,1489344
2023-08-18 15:46:16,1493504
2023-08-18 15:46:26,1497640
2023-08-18 15:46:36,1505944
2023-08-18 15:46:46,1510088
2023-08-18 15:46:56,1514232
2023-08-18 15:47:06,1518368
2023-08-18 15:47:16,1522520
2023-08-18 15:47:26,1526688
2023-08-18 15:47:36,1530824
2023-08-18 15:47:46,1539120
2023-08-18 15:47:56,1543272
2023-08-18 15:48:06,1547424
2023-08-18 15:48:16,1551552
2023-08-18 15:48:26,1555720
2023-08-18 15:48:36,1559880
2023-08-18 15:48:46,1568176
2023-08-18 15:48:56,1572320
2023-08-18 15:49:06,1576472
2023-08-18 15:49:16,1580616
2023-08-18 15:49:26,1584752
2023-08-18 15:49:36,1588912
2023-08-18 15:49:46,1597200
2023-08-18 15:49:56,1601360
2023-08-18 15:50:06,1605496
2023-08-18 15:50:16,1609656
2023-08-18 15:50:26,1638480
